Block	Individual	Age	Competition Treatment	Month	# Rosettes	Total Leaf #	Length (cm)	Width (cm)	Area (cm^2)	Mortality	Fv/Fm	SPAD	SLA (cm^2/g)	RWC (g/g * 100)		Month	Number
2b	115	young	Comp	1	7	28	16	0.8	12.8	alive	0.644	28.4	203.4841629	41.21983914			
2a	116	old	Comp	1	8	43	14.4	1.3	18.72	alive	0.78	35.8	178.8757396	54.6275395			
2b	117	young	Comp	1	9	61	21.3	1.4	29.82	alive	0.706	33.6	201.0989011	59.01559454			
2a	118	old	Comp	1	10	73	23.8	1.3	30.94	alive	0.662	32.25	222.295082	53.86740331			
2a	119	young	Comp	1	2	18	36.6	2	73.2	alive	0.655	40.15	101.9891008	18.10538117			
2b	120	old	Comp	1	6	26	21.5	1.5	32.25	alive	0.344	34.55	186.1302682	63.8225256			
2a	121	young	Comp	1	8	53	24.4	1.5	36.6	alive	0.773	34.1	215.5636364	39.76311337			
2b	122	old	Comp	1	4	47	15.2	1	15.2	alive	0.68	36.05	154.8846154	73.0378578			
2a	123	young	Comp	1	8	42	11.8	1	11.8	alive	0.77	35.65	190.9259259	66.18834081			
2a	124	old	Comp	1	6	18	11.6	1.2	13.92	alive	0.554	31	205.6880734	52.75190517			
2b	125	young	Comp	1	6	26	23.5	1.8	42.3	alive	0.71	37.8	197.2052402	55.72705118			
2b	126	old	Comp	1	1	41	32.8	3.1	101.68	alive	0.657	37.75	193.2911392	49.68553459			
2a	127	young	Comp	1	4	52	22.7	1.1	24.97	alive	0.788	42.1	155.6967213	48.32268371			
2a	128	old	Comp	1	6	26	14.5	1.2	17.4	alive	0.722	46.05	170.6315789	35.94594595			
2b	129	young	Comp	1	7	39	22.8	1.1	25.08	alive	0.559	26.7	235.220339	63.77805486			
2a	130	old	Comp	1	9	60	18.3	1.9	34.77	alive	0.743	41.2	211.8181818	42.0751634			
2b	131	young	Comp	1	1	18	33	3.6	118.8	alive	.	31.75	173.6170213	63.82428941			
2b	132	old	Comp	1	9	81	22.8	1.8	41.04	alive	0.722	44.9	209.6587031	58.77419355			
2a	133	young	Comp	1	4	57	15.8	1.1	17.38	alive	0.754	26.9	266.4319249	40.50343249			
2a	134	old	Comp	1	3	27	18.2	1.3	23.66	alive	0.617	29.9	203.0272109	50.54347826			
2b	135	young	Comp	1	5	21	22.6	2.2	49.72	alive	0.675	27.95	236.4361702	47.73735581			
2a	136	old	Comp	1	10	66	20.7	1.2	24.84	alive	0.77	41.45	141.0619469	55.81253804			
