",""species"",""region"",""biome"",""spines"",""hmax"",""sla"",""woo"",""ref.sla"",""ref.woo"",""ref.hmax"",""mat"",""map"",""rs"",""nfires"",""avgfrp"",""cec"",""cly"",""crf"",""orc"",""ph"",""slt"",""snd"""
"78,""Manilkara triflora"",""Neotropical"",""savanna"",""n"",4,NA,NA,"""","""",""Oliveira-Filhoetal2007"",25.2208166666667,1629.16666666667,70.6153,28.3135833333333,30.3966833333333,8.91666666666667,27,4.58333333333333,11.75,52.75,17.0833333333333,56"
"79,""Manilkara paraensis"",""Neotropical"",""forest"",""n"",NA,NA,0.86,"""",""Zanneetal2009"","""",26.1625,2294.33333333333,74.4549333333333,20.5220666666667,24.7558,8.83333333333333,31,2.83333333333333,16,48.1666666666667,18.8333333333333,49.8333333333333"
"80,""Manilkara elata"",""Neotropical"",""forest"","""",NA,NA,0.921320174,"""",""Zanneetal2009"","""",25.6944333333333,2075,66.4192666666667,16.5666666666667,9.06466666666667,8,38.8333333333333,3.16666666666667,9.83333333333333,47.3333333333333,22.6666666666667,38.8333333333333"
"81,""Manilkara obovata"",""Afrotropical"",""forest"",""n"",35,NA,0.860917291,"""",""Zanneetal2009"",""JStorPlants"",26.0450666666667,1355,87.0112011494253,62.6480689655172,18.407302183908,11.1744186046512,26.9767441860465,18.9302325581395,11.6627906976744,57.5174418604651,21.7674418604651,51.2790697674419"
"82,""Manilkara bidentata"",""Neotropical"",""forest"",""n"",NA,NA,0.740122619,"""",""Santiagoetal2004/Zanneetal2009"","""",25.9414916666667,2265.16666666667,47.0869541666667,11.7546291666667,9.4552104,11.5625,31.0416666666667,4.25,30.9583333333333,49.3958333333333,25.5833333333333,43.25"
"83,""Breviea sericea"",""Afrotropical"",""forest"","""",30,NA,0.480820777,"""",""Zanneetal2009"",""JStorPlants"",24.4624666666667,1577.66666666667,43.8094666666667,0,0,8,36,11,12,51.1666666666667,16.8333333333333,47.3333333333333"
"84,""Omphalocarpum elatum"",""Afrotropical"",""forest"","""",NA,NA,0.550408073,"""",""Zanneetal2009"","""",24.9671166666667,1862.44444444444,55.3351,2.26426666666667,5.27777611111111,11.0882352941176,33.5882352941176,13.2058823529412,23.2058823529412,49.2647058823529,15.0882352941176,51.5"
"85,""Chrysophyllum prieurii"",""Neotropical"",""forest"",""n"",NA,NA,0.861374,"""",""Zanneetal2009"","""",23.3986333333333,2142.33333333333,61.5702,1.32386666666667,4.10833333333333,16.6666666666667,35,6.16666666666667,43.6666666666667,48.1666666666667,23.8333333333333,41.1666666666667"
"86,""Chrysophyllum amazonicum"",""Neotropical"",""forest"","""",NA,NA,0.826,"""",""Zanneetal2009"","""",25.38545,2600,46.84415,2.48475,7.42,10.25,33.75,6.5,24.5,46.75,21.75,44.5"
"87,""Chrysophyllum lucentifolium"",""Neotropical"",""forest"","""",NA,NA,0.787,"""",""Zanneetal2009"","""",24.6513833333333,1597.33333333333,55.2869083333333,16.1471083333333,17.5158916666667,12.625,34.5416666666667,4.83333333333333,18.1666666666667,51.9583333333333,19.9583333333333,45.5833333333333"
"88,""Chrysophyllum cuneifolium"",""Neotropical"",""forest"","""",NA,NA,0.929245,"""",""Zanneetal2009"","""",25.541675,1985.5,69.0964,0.248525,1.85,9.33333333333333,37,7.5,15.1666666666667,53.5,20,42.6666666666667"
"89,""Chrysophyllum pomiferum"",""Neotropical"",""forest"","""",NA,NA,0.765983333,"""",""Zanneetal2009"","""",25.2417,2449,56.1999,0,0,10.5,30.5,3.5,23.5,50.5,36.5,32.5"
"90,""Chrysophyllum giganteum"",""Afrotropical"",""forest"","""",21,NA,0.483076926,"""",""Zanneetal2009"",""JStorPlants"",26.475,1340,57.8359,0,0,11.5,26,23.5,11.5,53,21.5,53"
"91,""Chrysophyllum argenteum"",""Neotropical"",""forest"","""",NA,NA,0.78351,"""",""Zanneetal2009"","""",24.3516,2264.33333333333,49.6147047619048,7.3415,14.0448131578947,21.202380952381,34.3333333333333,9.05952380952381,37.6190476190476,53.25,27.047619047619,38.6904761904762"
"92,""Chrysophyllum sanguinolentum"",""Neotropical"",""forest"","""",NA,NA,0.671418932,"""",""Zanneetal2009"","""",24.5554789473684,2479.05263157895,36.2209789473684,1.77877368421053,3.81968421052632,14.1842105263158,30.6578947368421,6.36842105263158,40.3684210526316,48.5526315789474,25.5,43.8684210526316"
"93,""Chrysophyllum cainito"",""Neotropical"",""forest"","""",NA,NA,0.6325,"""",""Santiagoetal2004/Zanneetal2009"","""",25.47469,1667.475,65.0681,14.9980027027027,17.6458,18.95,32.9875,13.05,18.9,61.225,21.2125,45.825"
"94,""Chrysophyllum marginatum"",""Neotropical"",""savanna"","""",25,NA,NA,"""","""",""Oliveira-Filhoetal2007"",20.366662962963,1366.91358024691,47.3110535802469,16.0947111111111,25.1436596296296,12.626582278481,34.1392405063291,6.03164556962025,21.1582278481013,55.8037974683544,21.0189873417722,44.8924050632911"
"95,""Chrysophyllum perpulchrum"",""Afrotropical"",""forest"",""n"",40,NA,0.711138287,"""",""Zanneetal2009"",""JStorPlants"",23.2472166666667,1611.83333333333,64.3522916666667,23.0104083333333,16.0179083333333,10.9545454545455,33.4090909090909,12.4090909090909,18.0454545454545,51.9090909090909,17.0909090909091,49.5"
