species,genus,family,trait_name,trait_value,unit,method,latitude,longitude,elevation_m,source_dataset,source_url,source_record_id,project_pi,retrieved_utc
Pereskia aculeata,Pereskia,Cactaceae,leaf thickness,0.52391,mm,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.qd19h,3816225,Ogburn RM,2026-03-28 23:42:38 UTC
Cereus peruvianus,Cereus,Cactaceae,vessel lumen area,0.00082448,mm2,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.1138,3816995,Zanne AE,2026-03-28 23:42:38 UTC
Acanthocereus tetragonus,Acanthocereus,Cactaceae,vessel lumen area,0.000611362,mm2,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.1138,3816996,Zanne AE,2026-03-28 23:42:38 UTC
Cereus peruvianus,Cereus,Cactaceae,vessel number,405,vessels mm-2,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.1138,3819426,Zanne AE,2026-03-28 23:42:38 UTC
Acanthocereus tetragonus,Acanthocereus,Cactaceae,vessel number,271,vessels mm-2,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.1138,3819427,Zanne AE,2026-03-28 23:42:38 UTC
Pereskia guamacho,Pereskia,Cactaceae,leaf thickness,1.175302,mm,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.qd19h,3821306,Ogburn RM,2026-03-28 23:42:38 UTC
Pereskia guamacho,Pereskia,Cactaceae,leaf thickness,1.220841,mm,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.qd19h,3821313,Ogburn RM,2026-03-28 23:42:38 UTC
Pereskia guamacho,Pereskia,Cactaceae,leaf thickness,1.268644,mm,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.qd19h,3821327,Ogburn RM,2026-03-28 23:42:38 UTC
Pereskia portulacifolia,Pereskia,Cactaceae,leaf thickness,0.637533,mm,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.qd19h,3821341,Ogburn RM,2026-03-28 23:42:38 UTC
Pereskia portulacifolia,Pereskia,Cactaceae,leaf thickness,0.564839,mm,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.qd19h,3821390,Ogburn RM,2026-03-28 23:42:38 UTC
Pereskia portulacifolia,Pereskia,Cactaceae,leaf thickness,0.656719,mm,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.qd19h,3821397,Ogburn RM,2026-03-28 23:42:38 UTC
Pereskia portulacifolia,Pereskia,Cactaceae,leaf thickness,0.588768,mm,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.qd19h,3821404,Ogburn RM,2026-03-28 23:42:38 UTC
Pereskia portulacifolia,Pereskia,Cactaceae,leaf thickness,0.729544,mm,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.qd19h,3821418,Ogburn RM,2026-03-28 23:42:38 UTC
Pereskia sacharosa,Pereskia,Cactaceae,leaf thickness,0.715362,mm,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.qd19h,3821425,Ogburn RM,2026-03-28 23:42:38 UTC
Pereskia sacharosa,Pereskia,Cactaceae,leaf thickness,0.695811,mm,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.qd19h,3821432,Ogburn RM,2026-03-28 23:42:38 UTC
Pereskia sacharosa,Pereskia,Cactaceae,leaf thickness,0.743169,mm,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.qd19h,3821446,Ogburn RM,2026-03-28 23:42:38 UTC
Pereskia sacharosa,Pereskia,Cactaceae,leaf thickness,0.75817,mm,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.qd19h,3821453,Ogburn RM,2026-03-28 23:42:38 UTC
Pereskia guamacho,Pereskia,Cactaceae,leaf thickness,1.136338,mm,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.qd19h,3825348,Ogburn RM,2026-03-28 23:42:38 UTC
Pereskia aculeata,Pereskia,Cactaceae,leaf thickness,0.53096,mm,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.qd19h,3825441,Ogburn RM,2026-03-28 23:42:38 UTC
Neobuxbaumia tetetzo,Neobuxbaumia,Cactaceae,whole plant growth form,columnar succulent,,,,,,BIEN,http://www.sciencedirect.com/science/article/pii/S0140196300907286,3835730,Briones O,2026-03-28 23:42:38 UTC
Lemaireocereus hollianus,Lemaireocereus,Cactaceae,whole plant growth form,columnar succulent,,,,,,BIEN,http://www.sciencedirect.com/science/article/pii/S0140196300907286,3835738,Briones O,2026-03-28 23:42:38 UTC
Rhipsalis baccifera,Rhipsalis,Cactaceae,whole plant growth form,epiphyte,,,,,,BIEN,http://onlinelibrary.wiley.com/doi/10.1111/j.1523-1739.2000.99072.x/abstract,3842480,Galindo-Gonzalez J,2026-03-28 23:42:38 UTC
Ferocactus cylindraceus,Ferocactus,Cactaceae,whole plant growth form,cactus,,,,,,BIEN,http://digitalscholarship.unlv.edu/cgi/viewcontent.cgi?article=1045&context=sls_fac_articles,3843140,Titus JH,2026-03-28 23:42:38 UTC
Opuntia quimilo,Opuntia,Cactaceae,whole plant growth form,tree*,,,,,,BIEN,https://77f6c0c1-a-62cb3a1a-s-sites.googlegroups.com/site/marceloaizen/pdfs_maa/Aizen%26Feinsinger-1994-Ecology.pdf?attachauth=ANoY7cqkB5Hv3UEElA1VxOjBZkf_Y8bii4WOCecEL8YDvz6KgkEAIivIpCVHHl2Oy7AdWLBXnPSc8pmcLU24sBx95P7P7cGymoiQuKUhKegFVjscC8gScN_PQ0YOSLLf7ce530ldtnqOZUisKVkokmE71lwRgV4xYNXC17z5h-at-33zL3wpnIG029PNjjIiwDeRJ4D0gdmlU1vbzyM5dIwdVcmXQ0kB7n3UMVoMiIrfnwalQ8alCDoHGpcD85F9KoUQGoTeiZJG&attredirects=1,3843983,Aizen MA,2026-03-28 23:42:38 UTC
